target_removed_fraction,actual_removed_fraction,location,radius,initial_post_damage_mass,final_mass,final_mass_ratio,final_mass_ratio_to_control,final_aligned_similarity_to_control,mass_recovered,mass_recovery_time_steps,shape_recovered,shape_recovery_time_steps,control_valid,final_motion_ratio_to_control,functionally_recovered,functional_recovery_time_steps,survived,extinction_step
0.05,0.04999994486570358,center,1.191500608933965,67.94473266601562,0.0,0.0,0.0,0.0,False,,False,,True,0.0,False,,False,40
0.05,0.04999994486570358,leading,1.2137113681012834,67.94473266601562,0.0,0.0,0.0,0.0,False,,False,,True,0.0,False,,False,40
0.05,0.05000005289912224,trailing,1.7272626721398525,67.9447250366211,71.2710189819336,0.9965080320064175,1.0060213949976102,0.9810371334959385,True,20.0,True,0.0,True,0.9976882454795076,True,50.0,True,
0.1,0.10000000149011612,center,1.7247066176682821,64.36869049072266,0.0,0.0,0.0,0.0,False,,False,,True,0.0,False,,False,30
0.1,0.09999988973140717,leading,1.8721688724502241,64.36869812011719,0.0,0.0,0.0,0.0,False,,False,,True,0.0,False,,False,50
0.1,0.10000000149011612,trailing,2.464905885065035,64.36869049072266,70.91205596923828,0.9914890280626858,1.0009544761301274,0.9870371488025279,True,30.0,True,0.0,True,0.9979222937937497,True,50.0,True,
0.15,0.1499999463558197,center,2.071150571633556,60.79265594482422,0.0,0.0,0.0,0.0,False,,False,,True,0.0,False,,False,20
0.15,0.1499999463558197,leading,2.21730221587026,60.79265594482422,0.0,0.0,0.0,0.0,False,,False,,True,0.0,False,,False,20
0.15,0.1499999463558197,trailing,2.8270401530760774,60.79265594482422,0.0,0.0,0.0,0.0,False,,False,,True,0.0,False,,False,20
0.2,0.20000000298023224,center,2.2879315851774886,57.21661376953125,0.0,0.0,0.0,0.0,False,,False,,True,0.0,False,,False,10
0.2,0.20000000298023224,leading,2.792046375871746,57.21661376953125,0.0,0.0,0.0,0.0,False,,False,,True,0.0,False,,False,20
0.2,0.20000000298023224,trailing,3.553187475545302,57.21661376953125,0.0,0.0,0.0,0.0,False,,False,,True,0.0,False,,False,20
0.25,0.24999994039535522,center,2.722059590029719,53.64057922363281,0.0,0.0,0.0,0.0,False,,False,,True,0.0,False,,False,10
0.25,0.24999994039535522,leading,2.9690521001091175,53.64057922363281,0.0,0.0,0.0,0.0,False,,False,,True,0.0,False,,False,10
0.25,0.24999994039535522,trailing,4.112093426299694,53.64057922363281,0.0,0.0,0.0,0.0,False,,False,,True,0.0,False,,False,10
